English,Vietnamese
Phyllis,Phyllis
Mac,Mac
breathe,thở
perfectly,hoàn hảo
warm,ấm
pulled,kéo
Maria,Maria
twice,hai lần
easier,dễ dàng hơn
killer,sát thủ
goin ',đi khập khiễng
dating,hẹn hò
suit,bộ đồ
romantic,lãng mạn
drugs,thuốc
comfortable,thoải mái
Isaac,Isaac
powers or Powers,quyền hạn hoặc quyền hạn
finds,tìm thấy
checked,đã kiểm tra
fit,phù hợp
divorce,ly hôn
begin,bắt đầu
ourselves,chính chúng ta
closer,gần hơn
ruin,sự đổ nát
although,mặc dù
smile,nụ cười
laugh,cười
fish,cá
Abigail,Abigail
treat,đối xử
god 's,Chúa
fear,nỗi sợ
Anna,Anna
what'd,Cái gì
Simone,Simone
Amber,Màu hổ phách
guy 's,anh chàng
otherwise,nếu không thì
excited,hào hứng
mail,thư
hiding,trốn
cost,trị giá
green or Green,màu xanh lá cây hoặc xanh lá cây
stole,lấy trộm
Pacey,Pacey
noticed,nhận thấy
Liza,Liza
fired,Bị sa thải
Daphne,Daphne
Whitney,Whitney
excellent,xuất sắc
lived,đã sống
bringing,đưa
pop,nhạc pop
piper or Piper,piper hoặc piper
bottom,đáy
note,ghi chú
sudden,đột nhiên
church,nhà thờ
bathroom,phòng tắm
flight,chuyến bay
Chad or chad,Chad hoặc Chad
la or LA,la hoặc la
honestly,Thành thật
sing,hát
Katie,Katie
foot,chân
games,Trò chơi
glass,thủy tinh
N .,N .
Mitch,Mitch
remind,nhắc lại
bank,ngân hàng
Rory,Rory
charges,phí
witness,nhân chứng
finding,Phát hiện
places,địa điểm
tree,cây
dare,dám
hardly,khắc nghiệt
that'll,Điều đó sẽ
U .,U.
interest,quan tâm
steal,ăn cắp
princess,công chúa
silly,ngớ ngẩn
contact,liên hệ
teach,dạy bảo
shop,cửa hàng
plus,thêm
colonel,Đại tá
fresh,tươi
trial,sự thử nghiệm
invited,được mời
roll,cuộn
radio,Đài
art,nghệ thuật
reach,với tới
heh,heh
dirty,bẩn thỉu
choose,chọn
emergency,khẩn cấp
dropped,giảm
butt,mông
credit,tín dụng
obvious,rõ ràng
cry,khóc
locked,khóa
Larry,Larry
loving,thương
positive,tích cực
nuts,quả hạch
agreed,đã đồng ý
Prue,Prue
price or Price,giá hoặc giá cả
goodbye,tạm biệt
condition,tình trạng
guard,bảo vệ
fuckin ',Fuckin '
grow,phát triển
cake,bánh ngọt
mood,tâm trạng
dad 's,bố
Bianca,Bianca
total,tổng cộng
crap,tào lao
crying,đang khóc
Paige,Paige
K . or 'k,K. hoặc 'k
belong,thuộc về
lay,đặt nằm
partner,cộng sự
trick,lừa
pressure,áp lực 
ohh,ohh
arm,cánh tay
dressed,mặc quần áo
cup,tách
lies,dối trá
bus,xe buýt
taste,nếm
neck,cổ 
south,phía nam
something 's,một số điều
nurse,y tá
raise,nâng lên
land,đất
cross,đi qua
lots,rất nhiều
mister,quí ông
carry,mang
group,nhóm
whoever,bất cứ ai
Eddie,Eddie
drinking,uống rượu
they'd,Họ đã làm
breaking,phá vỡ
file,tài liệu
lock,khóa
computer,máy tính
yo,yo
Rebecca,Rebecca
wine,rượu 
closed,Đóng
writing,viết
spot,điểm
paying,trả tiền
study,học
assume,cho rằng
asleep,ngủ
man 's,người đàn ông
turning,quay
legal,hợp pháp
justice,Sự công bằng
Viki,Viki
Chandler,Chandler
bedroom,Phòng ngủ
shower,vòi sen
Nikolas,Nikolas
camera,Máy ảnh
fill,đổ đầy
reasons,lý do
forty,bốn mươi
bigger,to hơn
nope,Không
keys,chìa khóa
Starr,Starr
breath,hơi thở
doctors,nhiêu bác sĩ
pants,quần dài
freak,quái đản
level,mức độ
French,người Pháp
movies,phim
gee,gee
Monica,Monica
action,hoạt động
area,khu vực
folks,Mọi người
Steve,Steve
cream,kem
ugh,ugh
continue,Tiếp tục
focus,tập trung
wild,hoang dã
truly,Quả thật
Jill or jill,Jill hoặc Jill
desk,bàn làm việc
convince,thuyết phục
client,khách hàng
threw,ném
Taylor,Taylor
band,ban nhạc
hurts,đau
Charles,Charles
spending,chi tiêu
Neil,Neil
field or Field,trường hoặc trường
allow,cho phép
grand,lớn
answers,câu trả lời
shirt,áo sơ mi
chair,cái ghế
Christ or christ,Chúa Kitô hoặc Đấng Christ
allowed,cho phép
rough,thô
doin,doin
sees,nhìn
government,chính phủ
Harry,Harry
ought,nên
empty,trống
round,tròn
lights,đèn
insane,điên cuồng
hall or Hall,Hội trường hoặc Hội trường
hat,Mũ
bastard,đồ khốn
wind,gió
shows,trình diễn
aware,nhận thức
dealing,xử lý
pack,đóng gói
meaning,nghĩa
flowers,những bông hoa
tight,chặt
hurting,làm tổn thương
ship,tàu thủy
subject,chủ thể
guest,khách mời
mom 's,Mẹ
chicken,thịt gà
pal,pal
match,cuộc thi đấu
Elaine,Elaine
arrested,bắt giam
sun,mặt trời
Rachel,Rachel
Salem,Salem
confused,bối rối
surgery,ca phẫu thuật
expecting,mong đợi
deacon,phó tế
Colleen,Colleen
unfortunately,Không may
goddamn,chết tiệt
lab,Phòng thí nghiệm
passed,đi qua
bottle,cái chai
beyond,vượt ra
whenever,bất cứ khi nào
pool,hồ bơi
opinion,ý kiến
naked,khỏa thân
held,cầm
common,chung
starts,bắt đầu
jerk,cà trớn
secrets,Bí mật
falling,rơi
played,chơi
necessary,cần thiết
barely,vừa đủ
dancing,khiêu vũ
health,sức khỏe
tests,Bài kiểm tra
copy,sao chép
Keri,Keri
video,băng hình
cousin,anh em họ
planned,kế hoạch
Vanessa,Vanessa
dry,khô
ahem,ahem
twelve,mười hai
simply,đơn giản
Tess,Tess
Scott,Scott
skin,da
often,thường
English,Tiếng Anh
fifteen,mười lăm
spirit,tinh thần
speech,lời nói
names,tên
issue,vấn đề
orders,đơn đặt hàng
nah,không
final,cuối cùng
Michelle,Michelle
America,Nước Mỹ
St .,St.
results,kết quả
code,mã số
Ned,Ned
Bonnie,Bonnie
W .,W.
believed,tin
complicated,phức tap
umm,umm
research,nghiên cứu
nowhere,hư không
escape,bỏ trốn
biggest,To nhất
restaurant,nhà hàng
page or Page,trang hoặc trang
grateful,tri ân
usual,thường
burn,đốt cháy
Chicago,Chicago
Austin,Austin
address,Địa chỉ
within,ở trong
someplace,nơi nào đó
screw,Đinh ốc
everywhere,mọi nơi
train,xe lửa
film,phim ảnh
regret,hối tiếc
goodness,lòng tốt
mistakes,sai lầm
heaven or Heaven,thiên đường hoặc thiên đường
details,chi tiết
responsibility,trách nhiệm
suspect,nghi ngờ
corner,góc
hero,anh hùng
dumb,câm
terrific,khủng khiếp
Peter,Peter
mission,Sứ mệnh
further,hơn nữa
Amy,Amy
gas,khí ga
whoo,Whoo
hole,hố
memories,ký ức
o'clock,Giảm giờ
Brian,Brian
truck,xe tải
following,tiếp theo
ended,đã kết thúc
nobody 's,không ai
Margo,Margo
teeth,răng
ruined,hủy hoại
Hank,Hank
split,tách ra
Reva,Reva
bear,con gấu
airport,sân bay
bite,cắn
smoke,Khói
Stenbeck,Stenbeck
older,lớn hơn
liar,người nói dối
horse,ngựa
Gwen,Gwen
showing,Hiển thị
van or Van,van hoặc xe tải
project,dự án
cards,thẻ
desperate,tuyệt vọng
themselves,chúng tôi
search,tìm kiếm
pathetic,đáng thương hại
damage,hư hại
spoke,đã nói
quickly,nhanh
scare,sự sợ hãi
Marah,Marah
G .,G.
beach,bãi biển
Mia,Mia
brown or Brown,nâu hoặc nâu
afford,đủ khả năng
vote,bỏ phiếu
settle,ổn định
gold,vàng
re or 're,Re hoặc 'Re
mentioned,được nhắc đến
ed or -ed,ed hoặc -ed
due,quá hạn
passion,niềm đam mê
Y . or -y,Y. hoặc -y
stayed,đã ở lại
rule,luật lệ
Friday,Thứ sáu
checking,kiểm tra
tie,cà vạt
hired,thuê
upon,trên
rush or Rush,vội vàng hoặc vội vàng
Tad,Một chút
heads,đầu
concern,bận tâm
blew,BLEW
natural,tự nhiên
Alcazar,Alcazar
Kramer,Kramer
champagne,Rượu sâm banh
connection,sự liên quan
tickets,vé
Kate,Kate
finger,ngón tay
happiness,niềm hạnh phúc
form,hình thức
saving,tiết kiệm
kissing,hôn
Martin,Martin
hated,ghét
personally,Cá nhân
suggest,gợi ý
prepared,chuẩn bị
build,xây dựng
leg,chân
onto,trên
leaves,lá
downstairs,tầng dưới
ticket,vé
it'd,nó sẽ
taught,dạy
loose,lỏng lẻo
holy,Thánh
staff,nhân viên
sea,biển
Asa,Như một
planet,hành tinh
duty,nhiệm vụ
convinced,bị thuyết phục
throwing,ném
defense,phòng thủ
Harvey,Harvey
kissed,hôn nhau
legs,chân
Dave,Dave
according,theo
loud,ồn ào
practice,luyện tập
Andy,Andy
Jess,Jess
Saturday,Thứ bảy
Colin,Colin
bright or Bright,sáng hoặc sáng
Amanda,Amanda
Fraser,Fraser
F .,F.
babies,đứa trẻ
army,quân đội
where'd,ở đâu
warning,cảnh báo
miracle,phép màu
carrying,chở
flying,Bay
Caleb,Caleb
blind,mù
queen,nữ hoàng
ugly,xấu xí
shopping,mua sắm
hates,ghét
someone 's,Ai đó
Seth,Seth
monster,quái vật
sight,thị giác
vampire,ma cà rồng
Rosanna,Rosanna
bride,cô dâu
coat,áo choàng
account,tài khoản
states,Những trạng thái
clearly,rõ ràng
celebrate,kỉ niệm
Nicole,Nicole
brilliant,xuất sắc
wanting,muốn
Allison,Allison
add,thêm vào
moon,mặt trăng
Forrester,Forrester
lips,môi
custody,sự coi giư
center,trung tâm
screwed,hơi say
buying,mua
size,kích cỡ
toast,nướng
thoughts,Suy nghĩ
Isabella,Isabella
student,học sinh
stories,những câu chuyện
however,Tuy nhiên
professional,chuyên nghiệp
stars,sao
reality,thực tế
Jimmy or jimmy,Jimmy hoặc Jimmy
birth,Sinh
Lexie,Lexie
attitude,thái độ
advantage,lợi thế
grandfather,ông nội
Sami,Sami
sold,đã bán
opened,đã mở
Lily,Hoa loa kèn
grandma,Bà
beg,ăn xin
Edward,Edward
changes,thay đổi
Diego,Diego
Cole,Cole
someday,một ngày nào đó
grade,cấp
cheese,phô mai
roof,mái nhà
Kenny,Kenny
Bobby or bobby,Bobby hoặc Bobby
pizza,pizza
brothers,Anh em
X . or x,X. hoặc x
signed,ký
bird,chim
ahh,Ahh
marrying,kết hôn
powerful,mạnh mẽ
grown,tăng
grandmother,bà ngoại
fake,giả mạo
opening,khai mạc
Sally,Sally
Stephanie,Stephanie
expected,hy vọng
eventually,sau cùng
must've,Phải
ideas,Ý tưởng
exciting,thú vị
covered,đề cập
Parker,Parker
de,de
familiar,thân thuộc
bomb,bom
bout,trận đấu
television,tivi
harmony or Harmony,sự hài hòa hoặc hài hòa
color,màu sắc
heavy,nặng
schedule,lịch trình
records,Hồ sơ
H .,H.
dollar,Đô la
capable,có khả năng
master,bậc thầy
numbers,số
Toby,Toby
practically,thực tế
including,bao gồm
correct,Chính xác
clue,manh mối
forgotten,quên
immediately,ngay lập tức
appointment,cuộc hẹn
social,xã hội
nature,thiên nhiên
ú,ú
deserves,xứng đáng
west or West,Tây hoặc Tây
Blake,Blake
teacher,giáo viên
threat,mối đe dọa
Frankie,Frankie
bloody,dính máu
lonely,cô đơn
Kelly,Kelly
ordered,đặt hàng
shame,nỗi tủi nhục
Brittany,Brittany
local,địa phương
jacket,áo khoác
hook,cái móc
destroyed,bị phá hủy
scary,đáng sợ
loser,kẻ thất bại
investigation,cuộc điều tra
above,bên trên
Jamal,Jamal
invite,mời
shooting,chụp
merry,vui 
port,Hải cảng
precious,quý giá
lesson,bài học
Roy,Roy
criminal,tội phạm
growing,phát triển
caused,gây ra
victim,nạn nhân
professor,giáo sư
followed,theo sau
funeral,tang lễ
nothing 's,không có gì
dean,trưởng khoa
considering,xem xét
burning,Đốt cháy
couch,đi văng
strength,sức mạnh
harder,khó hơn
loss,sự mất mát
view,xem
Gia,GIA
beauty,sắc đẹp
sisters,chị em gái
everybody 's,Mọi người
several,một số
pushed,đẩy
Nicholas,Nicholas
written,bằng văn bản
somebody 's,Ai đó
shock,sốc
pushing,Đẩy
heat,nhiệt
chocolate,sô cô la
greatest,vĩ đại nhất
Holden,Holden
miserable,khổ sở
Corinthos,Cô -rinh -tô
nightmare,Cơn ác mộng
energy,năng lượng
brings,mang lại
Zander,Zander
character,tính cách
became,đã trở thành
famous,nổi tiếng
enemy,kẻ thù
crash,tai nạn
chances,cơ hội
sending,gửi
recognize,nhận ra
healthy,khỏe mạnh
boring,nhạt nhẽo
feed,cho ăn
engaged,đính hôn
Sarah,Sarah
percent,phần trăm
headed,đứng đầu
Brandon,Brandon
lines,dòng
treated,điều trị
purpose,mục đích
north or North,Bắc hoặc Bắc
knife,dao
rights,quyền
drag,lôi kéo
San,San
fan,cái quạt
badly,tệ
speed,tốc độ
Santa,Ông già Noel
hire,Thuê
curious,tò mò
paint,sơn
pardon,xin thứ lỗi
Jackson,Jackson
built,được xây dựng
behavior,hành vi
closet,buồng nhỏ
candy or Candy,kẹo hoặc kẹo
Helena,Helena
warn,cảnh báo
gorgeous,lộng lẫy
post,bưu kiện
